title,brand,price,currency,url,img,description,source,date,sold,_buying_option,_search_label
Omega Railmaster CK2914-3 1959 Broad Arrow Cal.284,,10729,USD,https://www.ebay.com/itm/147482190480?_skw=Omega+Railmaster+CK2914&hash=item22569fa290:g:cOoAAeSw8KJqcbT4,https://i.ebayimg.com/images/g/cOoAAeSw8KJqcbT4/s-l225.jpg,,eBay,2026-08-14,False,FIXED_PRICE,Omega Railmaster CK2914
Omega Railmaster CK 2914-1 MK1 Broad Arrow 1957 First Execution Cal 284 Rare,,16500,USD,https://www.ebay.com/itm/206367798095?_skw=Omega+Railmaster+CK2914&hash=item300c7ab34f:g:fW8AAeSwqClqAPPa,https://i.ebayimg.com/images/g/fW8AAeSwqClqAPPa/s-l225.jpg,,eBay,2026-08-14,False,FIXED_PRICE,Omega Railmaster CK2914
Omega Seamaster Railmaster CK2914 Vintage 38mm Manual UE609,,25959,USD,https://www.ebay.com/itm/156843150313?_skw=Omega+Railmaster+CK2914&hash=item2484948be9:g:X9IAAOSw8wpmcH33,https://i.ebayimg.com/images/g/X9IAAOSw8wpmcH33/s-l225.jpg,,eBay,2026-08-14,False,FIXED_PRICE,Omega Railmaster CK2914
Omega Seamaster Railmaster CK2914 PAF Vintage 38mm Manual WG502,,24000,USD,https://www.ebay.com/itm/156667424412?_skw=Omega+Railmaster+CK2914&hash=item247a1b2e9c:g:hMIAAOSwHGNmeaKP,https://i.ebayimg.com/images/g/hMIAAOSwHGNmeaKP/s-l225.jpg,,eBay,2026-08-14,False,FIXED_PRICE,Omega Railmaster CK2914
Omega Seamaster Railmaster CK2914 Vintage 38mm Manual UB418,,23599,USD,https://www.ebay.com/itm/167778046889?_skw=Omega+Railmaster+CK2914&hash=item271059d3a9:g:gnAAAOSw5fxmYxxr,https://i.ebayimg.com/images/g/gnAAAOSw5fxmYxxr/s-l225.jpg,,eBay,2026-08-14,False,FIXED_PRICE,Omega Railmaster CK2914
Heuer Vintage Autavia GMT Ref 2446C Faded Bezel Steel,,9500,USD,https://www.ebay.com/itm/127801106259?_skw=heuer+autavia+gmt&hash=item1dc18a1f53:g:BJAAAeSwhYVp1q-o,https://i.ebayimg.com/images/g/BJAAAeSwhYVp1q-o/s-l225.jpg,,eBay,2026-08-14,False,FIXED_PRICE,Heuer Autavia GMT
Heuer Autavia GMT 11630 “Pepsi” Calibre 14 – Reverse Panda – Vintage 1970s Chron,,6750,USD,https://www.ebay.com/itm/287255050167?_skw=heuer+autavia+gmt&hash=item42e1bc37b7:g:OB8AAeSwjbFpyKq6&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGaFrm1abY55RJRmlItjg8Cw86H8StATolX64vHmwGHiKeJdnxAWk%2BUq7f4bqxbOMxYcLBft9KWgQL7ifOYXRZAw8rGBrlTuuse9QC1CUVnn6rzoJTAtNJ7VoKUPF%2Fd1QCQyLBZpKIyZeJAWjRS8JDq54MlPfrPUaCuCqIuvQERQuDYs6r3Cv8f1206b4WbrYwdDDcb3HIB6ujfXZOpyG9MCCeAxFJ6PIbCbx49%2FB8wUEmSUuhVhfWXIXJKHZJucKkf9pj8HF74nV2e15M2XQ5szJCR%2FHQfus%2FFCLIfMkKF2NA%3D%3D,https://i.ebayimg.com/images/g/OB8AAeSwjbFpyKq6/s-l225.jpg,,eBay,2026-08-14,False,FIXED_PRICE,Heuer Autavia GMT
Baylor GMT Pepsi Vintage Diver Watch Rare Heuer Autavia Style 45mm Used,,6501,USD,https://www.ebay.com/itm/158175337994?_skw=heuer+autavia+gmt&hash=item24d3fc1e0a:g:JI4AAeSwsqlqerFn&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGb3Gx98HZCzRDmW%2Fzo1fZEpjJhCfq%2Fngqbs9ui%2BR%2FtTF7z7onbpVgIDxRIi9N%2Bo%2BS6zimstRiKGg%2F13moAJzDsf3wVJ1bDCraPx7NOCB9fYe8YAjgevNo0CWMofG%2FiY4vcbspEgu%2B6RwZ7LMPcwdY0SuxDJTsJO%2BAT1%2BmQe0nc2%2BbfjI%2BrT4KTP4dW5XHg7zWuQahU5IT4RpadC1IOy6OYd7c7EMP9mja3H1Alw48Co6%2BpnSNuYGKMf0HFbGqrad8B8I%2F0kKmLAH9pPwtNfcFKMhBIKUBU6lQaOZpkvWKudgg%3D%3D,https://i.ebayimg.com/images/g/JI4AAeSwsqlqerFn/s-l225.jpg,,eBay,2026-08-14,False,FIXED_PRICE,Heuer Autavia GMT
VINTAGE HEUER AUTAVIA GMT AUTOMATIC CHRONOGRAPH CAL 14 REF 1163 - Mark 3,,8500,USD,https://www.ebay.com/itm/307120258883?_skw=heuer+autavia+gmt&hash=item4781cb3f43:g:N3UAAeSwf9FqMxs4,https://i.ebayimg.com/images/g/N3UAAeSwf9FqMxs4/s-l225.jpg,,eBay,2026-08-14,False,FIXED_PRICE,Heuer Autavia GMT
Heuer Autavia GMT Ref. 2446C MK2 Pepsi Vintage Chronograph,,13044,USD,https://www.ebay.com/itm/358790244673?_skw=heuer+autavia+gmt&hash=item538990a941:g:GFAAAeSwh0NqVWEi,https://i.ebayimg.com/images/g/GFAAAeSwh0NqVWEi/s-l225.jpg,,eBay,2026-08-14,False,FIXED_PRICE,Heuer Autavia GMT
